id_stacji,stacja,rzeka,województwo,stan_wody,stan_wody_data_pomiaru,temperatura_wody,temperatura_wody_data_pomiaru,zjawisko_lodowe,zjawisko_lodowe_data_pomiaru,zjawisko_zarastania,zjawisko_zarastania_data_pomiaru
151140030,Przewoźniki,Skroda,lubuskie,3383,"2017-11-20 06:10:00",,,0,"2017-10-24 09:08:00",0,"2017-09-11 08:58:00"
153190040,Bągart,Dzierzgoń,pomorskie,712,"2017-11-25 13:10:00",,,,,0,"2017-10-31 10:00:00"
149210120,Godowa,Stobnica,podkarpackie,608,"2017-11-25 13:10:00",,,0,"2017-09-18 09:00:00",,
154190080,Żukowo,"Jez. Drużno",warmińsko-mazurskie,581,"2017-11-25 13:10:00",5.4,"2017-11-25 13:10:00",,,,
154180220,"Gdańska Głowa",Wisła,pomorskie,623,"2017-11-25 13:10:00",,,,,0,"2017-09-07 07:56:00"
154190050,"Nowe Batorowo","Zalew Wiślany",warmińsko-mazurskie,554,"2017-11-25 13:10:00",5.6,"2017-11-25 13:10:00",,,,
154180210,"Ujście Wisły",Wisła,pomorskie,551,"2017-11-25 13:10:00",10.8,"2017-11-25 13:10:00",,,,
154180190,Przegalina,Wisła,pomorskie,580,"2017-11-25 13:00:00",,,,,,
154190060,Elbląg,Elbląg,warmińsko-mazurskie,555,"2017-11-25 13:10:00",,,,,,
154180200,Świbno,Wisła,pomorskie,555,"2017-11-25 13:10:00",,,,,,
153140190,"Regalica Szczecin",Regalica,zachodniopomorskie,558,"2017-11-25 13:10:00",5,"2017-11-25 13:10:00",,,,
154160150,Darłowo,Wieprza,zachodniopomorskie,533,"2017-11-25 13:10:00",6.1,"2017-11-25 13:10:00",,,,
154180100,Władysławowo,Bałtyk,pomorskie,537,"2017-11-25 13:10:00",6.33,"2017-11-25 13:10:00",,,,
154190020,Tujsk,Szkarpawa,pomorskie,550,"2017-11-25 13:10:00",,,,,0,"2017-11-24 10:57:00"
153140020,Widuchowa,Odra,zachodniopomorskie,587,"2017-11-25 13:10:00",6.17,"2017-11-25 13:10:00",0,"2017-11-03 07:57:00",0,"2017-07-12 07:08:00"
154160110,Ustka,Bałtyk,pomorskie,536,"2017-11-25 13:10:00",6.38,"2017-11-25 13:10:00",,,0,"2017-07-10 10:32:00"
154190090,Tolkmicko,"Zalew Wiślany",warmińsko-mazurskie,541,"2017-11-25 13:10:00",4.7,"2017-11-25 13:10:00",0,"2017-09-12 10:00:00",0,"2017-10-19 09:07:00"
153180120,Hel,Bałtyk,pomorskie,535,"2017-11-25 13:10:00",7.89,"2017-11-25 13:10:00",0,"2017-09-12 12:10:00",,
153140030,Gryfino,Odra,zachodniopomorskie,559,"2017-11-25 13:10:00",6.26,"2017-11-25 13:10:00",0,"2017-11-03 09:06:00",0,"2017-08-03 10:13:00"
154180140,Gdańsk,-,pomorskie,537,"2017-11-25 13:10:00",7.71,"2017-11-25 13:10:00",,,0,"2017-09-09 08:10:00"
154180180,"Suchy Dąb",Bielawa,pomorskie,542,"2017-11-25 01:10:00",,,,,,
153230130,Harasimowicze,Sidra,podlaskie,529,"2017-11-25 13:10:00",,,,,201,"2017-09-08 11:07:00"
154170100,Łeba,Bałtyk,pomorskie,532,"2017-11-25 13:10:00",4.6,"2017-11-25 13:10:00",,,0,"2017-11-17 12:05:00"
154180160,Sobieszewo,"Martwa Wisła",pomorskie,536,"2017-11-25 13:10:00",6.1,"2017-11-25 13:10:00",,,,
153140050,Szczecin,Odra,zachodniopomorskie,547,"2017-11-25 13:10:00",5.7,"2017-11-25 13:10:00",,,,
154190030,Osłonka,"Zalew Wiślany",pomorskie,548,"2017-11-25 13:10:00",11.8,"2017-11-25 13:10:00",,,,
154180120,Gdynia,Bałtyk,pomorskie,533,"2017-11-25 13:10:00",6.5,"2017-11-25 13:10:00",,,0,"2017-10-25 09:57:00"
154190040,"Dolna Kępa",Nogat,warmińsko-mazurskie,543,"2017-11-25 13:10:00",,,0,"2017-08-08 11:10:00",,
154150030,Kołobrzeg,Bałtyk,zachodniopomorskie,533,"2017-11-25 13:10:00",5.96,"2017-11-25 13:10:00",,,,
154190010,"Nowy Dwór Gdański",Święta,pomorskie,549,"2017-11-25 13:10:00",,,,,,
154180090,Puck,"Zatoka Pucka",pomorskie,537,"2017-11-25 13:10:00",4.93,"2017-11-25 13:10:00",0,"2017-11-15 10:10:00",0,"2017-08-24 08:00:00"
153140010,Świnoujście,"Zatoka Pomorska (ujście Świny)",zachodniopomorskie,538,"2017-11-25 13:10:00",6.06,"2017-11-25 13:10:00",,,,
